BET TRACKER - NEAR-TERM ACTION
==============================

This file is a plain-text digest of Nick Ritchey's personal sports-betting
tracker. All figures are precomputed. Conventions: 'To Win' is PROFIT, not
total payout (payout = Risk + To Win). Settled excludes pending/refunded.
Generated: 2026-09-16 21:06 UTC


Local date: 2026-09-16  (as of 2026-09-16 14:06 PDT)

Game bets and short-dated outrights only, sorted by SETTLE date (soonest
first). Season-long futures are excluded on purpose - they live in
futures.txt. 'Event Date' is when the bet grades, not when it was placed.

Near-term open: 78   Risk: $1,040.00   Max win: $18,573.90

NEEDS GRADING - 78 bet(s), risk $1,040.00
These events have finished but are still marked pending.
  [1849] 2026-09-03 (13d ago) | risk $20.00 | RR 2-way: San Jose St ML +135 + Wyoming ML +140
  [1850] 2026-09-03 (13d ago) | risk $20.00 | RR 2-way: San Jose St ML +135 + California ML +105
  [1851] 2026-09-03 (13d ago) | risk $20.00 | RR 2-way: San Jose St ML +135 + Nevada ML +115
  [1852] 2026-09-03 (13d ago) | risk $20.00 | RR 2-way: San Jose St ML +135 + SMU ML -160
  [1853] 2026-09-03 (13d ago) | risk $20.00 | RR 2-way: Wyoming ML +140 + California ML +105
  [1854] 2026-09-03 (13d ago) | risk $20.00 | RR 2-way: Wyoming ML +140 + Nevada ML +115
  [1855] 2026-09-03 (13d ago) | risk $20.00 | RR 2-way: Wyoming ML +140 + SMU ML -160
  [1856] 2026-09-03 (13d ago) | risk $20.00 | RR 2-way: California ML +105 + Nevada ML +115
  [1857] 2026-09-03 (13d ago) | risk $20.00 | RR 2-way: California ML +105 + SMU ML -160
  [1858] 2026-09-03 (13d ago) | risk $20.00 | RR 2-way: Nevada ML +115 + SMU ML -160
  [1859] 2026-09-03 (13d ago) | risk $20.00 | RR 3-way: San Jose St ML +135 + Wyoming ML +140 + California ML +105
  [1860] 2026-09-03 (13d ago) | risk $20.00 | RR 3-way: San Jose St ML +135 + Wyoming ML +140 + Nevada ML +115
  [1861] 2026-09-03 (13d ago) | risk $20.00 | RR 3-way: San Jose St ML +135 + Wyoming ML +140 + SMU ML -160
  [1862] 2026-09-03 (13d ago) | risk $20.00 | RR 3-way: San Jose St ML +135 + California ML +105 + Nevada ML +115
  [1863] 2026-09-03 (13d ago) | risk $20.00 | RR 3-way: San Jose St ML +135 + California ML +105 + SMU ML -160
  [1864] 2026-09-03 (13d ago) | risk $20.00 | RR 3-way: San Jose St ML +135 + Nevada ML +115 + SMU ML -160
  [1865] 2026-09-03 (13d ago) | risk $20.00 | RR 3-way: Wyoming ML +140 + California ML +105 + Nevada ML +115
  [1866] 2026-09-03 (13d ago) | risk $20.00 | RR 3-way: Wyoming ML +140 + California ML +105 + SMU ML -160
  [1867] 2026-09-03 (13d ago) | risk $20.00 | RR 3-way: Wyoming ML +140 + Nevada ML +115 + SMU ML -160
  [1868] 2026-09-03 (13d ago) | risk $20.00 | RR 3-way: California ML +105 + Nevada ML +115 + SMU ML -160
