ID,Date,Sport,League,Event,Type,Description,Pick,Opponent,Odds,Risk,To Win,Status,Result Date,Notes
1,2026-04-12,Golf,PGA Tour,2026 Majors,future,Win a Major in 2026,Ludvig Aberg,,550,500,2750,pending,,"Covers PGA Championship, US Open, The Open"
2,2026-04-09,Golf,PGA Tour,2026 Masters,outright,Win Tournament,Jordan Spieth,,+4200,100,4200,lost,2026-04-12,
3,2026-04-09,Golf,PGA Tour,2026 Masters,top10,Top 10,Tommy Fleetwood,,+150,150,225,lost,2026-04-12,
4,2026-04-09,Golf,PGA Tour,2026 Masters,top10,Top 10,Corey Conners,,+500,100,500,lost,2026-04-12,
5,2026-04-09,Golf,PGA Tour,2026 Masters,top10,Top 10,Jordan Spieth,,+375,100,375,lost,2026-04-12,
6,2026-04-09,Golf,PGA Tour,2026 Masters,top10,Top 10,Justin Rose,,+325,100,325,won,2026-04-12,T3 finish
7,2026-04-09,Golf,PGA Tour,2026 Masters,top10,Top 10,Cameron Young,,+225,125,281,won,2026-04-12,T3 finish
8,2026-04-09,Golf,PGA Tour,2026 Masters,top10,Top 10,Patrick Reed,,+325,100,325,lost,2026-04-12,
9,2026-04-09,Golf,PGA Tour,2026 Masters,top20,Top 20,Tommy Fleetwood,,-130,325,250,lost,2026-04-12,
10,2026-04-09,Golf,PGA Tour,2026 Masters,top20,Top 20,Corey Conners,,+160,250,400,lost,2026-04-12,
11,2026-04-09,Golf,PGA Tour,2026 Masters,top20,Top 20,Jordan Spieth,,+125,250,312,won,2026-04-12,T12 finish
12,2026-04-09,Golf,PGA Tour,2026 Masters,top20,Top 20,Justin Rose,,-115,287,250,won,2026-04-12,T3 finish
13,2026-04-09,Golf,PGA Tour,2026 Masters,top20,Top 20,Cameron Young,,-140,350,250,won,2026-04-12,T3 finish
14,2026-04-09,Golf,PGA Tour,2026 Masters,top20,Top 20,Patrick Reed,,+110,250,275,won,2026-04-12,T14 finish
15,2026-04-09,Golf,PGA Tour,2026 Masters,r1under,R1 U 72.5,Cameron Smith,,-110,275,250,lost,2026-04-09,Shot 74
16,2026-04-09,Golf,PGA Tour,2026 Masters,r1under,R1 U 72.5,Sungjae Im,,-115,287,250,lost,2026-04-09,Shot 76
17,2026-04-09,Golf,PGA Tour,2026 Masters,r1under,R1 U 72.5,Patrick Cantlay,,-145,362,250,lost,2026-04-09,Shot 77
18,2026-04-09,Golf,PGA Tour,2026 Masters,r1under,R1 U 72.5,Adam Scott,,-145,362,250,won,2026-04-09,Shot 72
19,2026-04-09,Golf,PGA Tour,2026 Masters,r1under,R1 U 71.5,Patrick Reed,,+110,250,275,won,2026-04-09,Shot 69
20,2026-04-09,Golf,PGA Tour,2026 Masters,matchup,Tournament H2H: JT > Morikawa,Justin Thomas,Collin Morikawa,+115,250,287,lost,2026-04-12,
21,2026-04-10,Golf,PGA Tour,2026 Masters,r2matchup,R2 H2H: Koepka > Spieth,Brooks Koepka,Jordan Spieth,+115,250,287,won,2026-04-10,
22,2026-04-10,Golf,PGA Tour,2026 Masters,r2matchup,R2 H2H: Rose > M.W. Lee,Justin Rose,Min Woo Lee,-130,325,250,won,2026-04-10,
23,2026-04-10,Golf,PGA Tour,2026 Masters,r2matchup,R2 H2H: DeChambeau > McIlroy,Bryson DeChambeau,Rory McIlroy,+120,250,300,lost,2026-04-10,
24,2026-04-10,Golf,PGA Tour,2026 Masters,r2matchup,R2 H2H: Aberg > MacIntyre,Ludvig Aberg,Robert MacIntyre,-135,337,250,won,2026-04-10,
25,2026-04-10,Golf,PGA Tour,2026 Masters,r2matchup,R2 H2H: Rai > Hall,Aaron Rai,Harry Hall,+110,250,275,lost,2026-04-10,
26,2026-04-10,Golf,PGA Tour,2026 Masters,r2matchup,R2 H2H: Rai > Hall (2),Aaron Rai,Harry Hall,+110,250,275,lost,2026-04-10,
27,2026-04-10,Golf,PGA Tour,2026 Masters,r2matchup,R2 H2H: Rose > M.W. Lee (2),Justin Rose,Min Woo Lee,-130,162,125,won,2026-04-10,
28,2026-04-10,Golf,PGA Tour,2026 Masters,r2matchup,R2 H2H: Scheffler > Rahm,Scottie Scheffler,Jon Rahm,-160,400,250,lost,2026-04-10,
29,2026-04-10,Golf,PGA Tour,2026 Masters,r2matchup,R2 H2H: Scott > N. Hojgaard,Adam Scott,Nicolai Hojgaard,-130,325,250,push,2026-04-10,
30,2026-04-10,Golf,PGA Tour,2026 Masters,r2matchup,R2 H2H: Li > Ortiz,Haotong Li,Carlos Ortiz,-155,387,250,won,2026-04-10,
31,2026-04-10,Golf,PGA Tour,2026 Masters,r2matchup,R2 H2H: Stevens > M. Kim,Sam Stevens,Michael Kim,-135,337,250,won,2026-04-10,
32,2026-04-10,Golf,PGA Tour,2026 Masters,r2matchup,R2 H2H: Homa > Potgieter,Max Homa,Aldrich Potgieter,-180,450,250,won,2026-04-10,
33,2026-04-10,Golf,PGA Tour,2026 Masters,r2matchup,R2 H2H: Burns > Knapp,Sam Burns,Jake Knapp,-120,300,250,lost,2026-04-10,
34,2026-04-10,Golf,PGA Tour,2026 Masters,r2matchup,R2 H2H: Kitayama > R. Hojgaard,Kurt Kitayama,Rasmus Hojgaard,-145,362,250,lost,2026-04-10,
35,2026-04-10,Golf,PGA Tour,2026 Masters,r2threeball,R2 3-Ball,Tyrrell Hatton,McNealy/Spaun,+175,250,437,won,2026-04-10,
36,2026-04-10,Golf,PGA Tour,2026 Masters,r2threeball,R2 3-Ball,Sam Burns,Smith/Knapp,+150,250,375,lost,2026-04-10,
37,2026-04-10,Golf,PGA Tour,2026 Masters,r2threeball,R2 3-Ball,Rory McIlroy,Young/Howell,-125,312,250,won,2026-04-10,
38,2026-04-10,Golf,PGA Tour,2026 Masters,r2threeball,R2 3-Ball,Kurt Kitayama,Reitan/Jarvis,+125,250,312,lost,2026-04-10,
39,2026-04-10,Golf,PGA Tour,2026 Masters,r2threeball,R2 3-Ball,Scottie Scheffler,MacIntyre/Woodland,-160,400,250,lost,2026-04-10,
40,2026-04-10,Golf,PGA Tour,2026 Masters,r2threeball,R2 3-Ball,Justin Thomas,Straka/Griffin,+150,250,375,lost,2026-04-10,
41,2026-04-10,Golf,PGA Tour,2026 Masters,r2threeball,R2 3-Ball,Corey Conners,Hall/Brennan,+115,250,287,lost,2026-04-10,
42,2026-04-10,Golf,PGA Tour,2026 Masters,r2under,R2 U 72.5,Robert MacIntyre,,-130,325,250,won,2026-04-10,Shot 71
43,2026-04-10,Golf,PGA Tour,2026 Masters,r2under,R2 U 72.5,Patrick Reed,,-130,325,250,won,2026-04-10,Shot 69
44,2026-04-10,Golf,PGA Tour,2026 Masters,r2under,R2 U 72.5,Jason Day,,-115,287,250,won,2026-04-10,Shot 71
45,2026-04-10,Golf,PGA Tour,2026 Masters,r2under,R2 U 71.5,Tommy Fleetwood,,+100,250,250,won,2026-04-10,Shot 68
46,2026-04-10,Golf,PGA Tour,2026 Masters,r2under,R2 U 72.5,Sam Burns,,-110,275,250,won,2026-04-10,Shot 71
47,2026-04-11,Golf,PGA Tour,2026 Masters,r3matchup,R3 H2H: Rai > Bradley,Aaron Rai,Keegan Bradley,+120,250,300,lost,2026-04-11,
48,2026-04-11,Golf,PGA Tour,2026 Masters,r3matchup,R3 H2H: Hovland > JT,Viktor Hovland,Justin Thomas,-125,312,250,push,2026-04-11,
49,2026-04-11,Golf,PGA Tour,2026 Masters,r3matchup,R3 H2H: Hatton > Day,Tyrrell Hatton,Jason Day,+100,250,250,lost,2026-04-11,
50,2026-04-11,Golf,PGA Tour,2026 Masters,r3matchup,R3 H2H: Young > Schauffele,Cameron Young,Xander Schauffele,+115,250,287,won,2026-04-11,
51,2026-04-11,Golf,PGA Tour,2026 Masters,r3matchup,R3 H2H: Homa > Gerard,Max Homa,Ryan Gerard,+105,250,262,lost,2026-04-11,
52,2026-04-11,Golf,PGA Tour,2026 Masters,r3matchup,R3 H2H: Aberg > Scheffler,Ludvig Aberg,Scottie Scheffler,+155,200,310,lost,2026-04-11,
53,2026-04-11,Golf,PGA Tour,2026 Masters,r3matchup,R3 H2H: Im > English,Sungjae Im,Harris English,+105,250,262,won,2026-04-11,
54,2026-04-11,Golf,PGA Tour,2026 Masters,r3over,R3 O 71.5,Patrick Reed,,+145,200,290,won,2026-04-11,Shot 72
55,2026-04-11,Golf,PGA Tour,2026 Masters,r3over,R3 O 70.5,Rory McIlroy,,+110,250,275,won,2026-04-11,Shot 73
56,2026-04-11,Golf,PGA Tour,2026 Masters,r3over,R3 O 70.5,Scottie Scheffler,,+135,200,270,lost,2026-04-11,Shot 65
57,2026-04-11,Golf,PGA Tour,2026 Masters,r3over,R3 O 71.5,Tyrrell Hatton,,-115,287,250,won,2026-04-11,Shot 72
58,2026-04-11,Golf,PGA Tour,2026 Masters,r3over,R3 O 70.5,Tommy Fleetwood,,-125,312,250,won,2026-04-11,Shot 73
59,2026-04-11,Golf,PGA Tour,2026 Masters,r3over,R3 O 72.5,Kristoffer Reitan,,-120,300,250,won,2026-04-11,Shot 73
60,2026-04-11,Golf,PGA Tour,2026 Masters,r3over,R3 O 72.5,Brian Harman,,-125,312,250,lost,2026-04-11,Shot 67
61,2026-04-11,Golf,PGA Tour,2026 Masters,r3over,R3 O 71.5,Sam Burns,,-125,312,250,lost,2026-04-11,Shot 68
62,2026-04-11,Golf,PGA Tour,2026 Masters,outright,Win Tournament,Rory McIlroy,,-250,5000,2000,won,2026-04-12,
63,2026-04-11,Golf,PGA Tour,2026 Masters,outright,Win Tournament,Rory McIlroy,,-136,680,500,won,2026-04-12,
64,2026-04-11,Golf,PGA Tour,2026 Masters,prop,R3 Leader (Dead Heat),Rory McIlroy,,-250,1250,250,won,2026-04-11,Dead heat rules applied
65,2026-04-12,Golf,PGA Tour,2026 Masters,r4over,R4 O 70.5,Sam Burns,,-115,287,250,won,2026-04-12,Shot 73
66,2026-04-12,Golf,PGA Tour,2026 Masters,r4over,R4 O 70.5,Chris Gotterup,,-135,337,250,won,2026-04-12,Shot 73
67,2026-04-12,Golf,PGA Tour,2026 Masters,r4over,R4 O 70.5,Patrick Cantlay,,-120,300,250,won,2026-04-12,Shot 73
68,2026-04-12,Golf,PGA Tour,2026 Masters,r4under,R4 U 70.5,Sungjae Im,,+100,250,250,lost,2026-04-12,Shot 77
69,2026-04-12,Golf,PGA Tour,2026 Masters,r4matchup,R4 H2H: Li > Griffin,Haotong Li,Ben Griffin,+140,200,280,lost,2026-04-12,
70,2026-04-12,Golf,PGA Tour,2026 Masters,r4matchup,R4 H2H: Homa > Reitan,Max Homa,Kristoffer Reitan,-115,287,250,won,2026-04-12,
71,2026-04-12,Golf,PGA Tour,2026 Masters,r4matchup,R4 H2H: Henley > Knapp,Russell Henley,Jake Knapp,-115,287,250,won,2026-04-12,
72,2026-04-12,Golf,PGA Tour,2026 Masters,r4matchup,R4 H2H: Reed > Morikawa,Patrick Reed,Collin Morikawa,-120,300,250,lost,2026-04-12,
73,2026-04-12,Golf,PGA Tour,2026 Masters,r4matchup,R4 H2H: Day > Cantlay,Jason Day,Patrick Cantlay,+105,250,262,lost,2026-04-12,
74,2026-04-12,Golf,PGA Tour,2026 Masters,r4best,R4 Best Score in Field,Brooks Koepka,,+3000,50,1500,lost,2026-04-12,"Shot 71, best was 66"
75,2026-04-10,Golf,PGA Tour,2026 Masters,parlay,RR 2-way: Rai > Hall + Reed > Matsuyama,"Rai, Reed",,+341,25,85.25,lost,2026-04-10,Round Robin 2-way parlay
76,2026-04-10,Golf,PGA Tour,2026 Masters,parlay,RR 2-way: Rai > Hall + Cantlay > Hovland,"Rai, Cantlay",,+341,25,85.25,lost,2026-04-10,Round Robin 2-way parlay
77,2026-04-10,Golf,PGA Tour,2026 Masters,parlay,RR 2-way: Rai > Hall + Day > Lowry,"Rai, Day",,+320,25,80.0,lost,2026-04-10,Round Robin 2-way parlay
78,2026-04-10,Golf,PGA Tour,2026 Masters,parlay,RR 2-way: Rai > Hall + Conners > Bridgeman,"Rai, Conners",,+373,25,93.13,lost,2026-04-10,Round Robin 2-way parlay
79,2026-04-10,Golf,PGA Tour,2026 Masters,parlay,RR 2-way: Reed > Matsuyama + Cantlay > Hovland,"Reed, Cantlay",,+341,25,85.25,won,2026-04-10,Round Robin 2-way parlay
80,2026-04-10,Golf,PGA Tour,2026 Masters,parlay,RR 2-way: Reed > Matsuyama + Day > Lowry,"Reed, Day",,+320,25,80.0,lost,2026-04-10,Round Robin 2-way parlay
81,2026-04-10,Golf,PGA Tour,2026 Masters,parlay,RR 2-way: Reed > Matsuyama + Conners > Bridgeman,"Reed, Conners",,+373,25,93.13,won,2026-04-10,Round Robin 2-way parlay
82,2026-04-10,Golf,PGA Tour,2026 Masters,parlay,RR 2-way: Cantlay > Hovland + Day > Lowry,"Cantlay, Day",,+320,25,80.0,lost,2026-04-10,Round Robin 2-way parlay
83,2026-04-10,Golf,PGA Tour,2026 Masters,parlay,RR 2-way: Cantlay > Hovland + Conners > Bridgeman,"Cantlay, Conners",,+373,25,93.13,won,2026-04-10,Round Robin 2-way parlay
84,2026-04-10,Golf,PGA Tour,2026 Masters,parlay,RR 2-way: Day > Lowry + Conners > Bridgeman,"Day, Conners",,+350,25,87.5,lost,2026-04-10,Round Robin 2-way parlay
85,2026-04-10,Golf,PGA Tour,2026 Masters,parlay,RR 3-way: Rai > Hall + Reed > Matsuyama + Cantlay > Hovland,"Rai, Reed, Cantlay",,+826,25,206.53,lost,2026-04-10,Round Robin 3-way parlay
86,2026-04-10,Golf,PGA Tour,2026 Masters,parlay,RR 3-way: Rai > Hall + Reed > Matsuyama + Day > Lowry,"Rai, Reed, Day",,+782,25,195.5,lost,2026-04-10,Round Robin 3-way parlay
87,2026-04-10,Golf,PGA Tour,2026 Masters,parlay,RR 3-way: Rai > Hall + Reed > Matsuyama + Conners > Bridgeman,"Rai, Reed, Conners",,+892,25,223.06,lost,2026-04-10,Round Robin 3-way parlay
88,2026-04-10,Golf,PGA Tour,2026 Masters,parlay,RR 3-way: Rai > Hall + Cantlay > Hovland + Day > Lowry,"Rai, Cantlay, Day",,+782,25,195.5,lost,2026-04-10,Round Robin 3-way parlay
89,2026-04-10,Golf,PGA Tour,2026 Masters,parlay,RR 3-way: Rai > Hall + Cantlay > Hovland + Conners > Bridgeman,"Rai, Cantlay, Conners",,+892,25,223.06,lost,2026-04-10,Round Robin 3-way parlay
90,2026-04-10,Golf,PGA Tour,2026 Masters,parlay,RR 3-way: Rai > Hall + Day > Lowry + Conners > Bridgeman,"Rai, Day, Conners",,+845,25,211.25,lost,2026-04-10,Round Robin 3-way parlay
91,2026-04-10,Golf,PGA Tour,2026 Masters,parlay,RR 3-way: Reed > Matsuyama + Cantlay > Hovland + Day > Lowry,"Reed, Cantlay, Day",,+782,25,195.5,lost,2026-04-10,Round Robin 3-way parlay
92,2026-04-10,Golf,PGA Tour,2026 Masters,parlay,RR 3-way: Reed > Matsuyama + Cantlay > Hovland + Conners > Bridgeman,"Reed, Cantlay, Conners",,+892,25,223.06,won,2026-04-10,Round Robin 3-way parlay
93,2026-04-10,Golf,PGA Tour,2026 Masters,parlay,RR 3-way: Reed > Matsuyama + Day > Lowry + Conners > Bridgeman,"Reed, Day, Conners",,+845,25,211.25,lost,2026-04-10,Round Robin 3-way parlay
94,2026-04-10,Golf,PGA Tour,2026 Masters,parlay,RR 3-way: Cantlay > Hovland + Day > Lowry + Conners > Bridgeman,"Cantlay, Day, Conners",,+845,25,211.25,lost,2026-04-10,Round Robin 3-way parlay
95,2026-04-10,Golf,PGA Tour,2026 Masters,parlay,RR 4-way: Rai > Hall + Reed > Matsuyama + Cantlay > Hovland + Day > Lowry,"Rai, Reed, Cantlay, Day",,+1752,25,438.05,lost,2026-04-10,Round Robin 4-way parlay
96,2026-04-10,Golf,PGA Tour,2026 Masters,parlay,RR 4-way: Rai > Hall + Reed > Matsuyama + Cantlay > Hovland + Conners > Bridgeman,"Rai, Reed, Cantlay, Conners",,+1984,25,495.93,lost,2026-04-10,Round Robin 4-way parlay
97,2026-04-10,Golf,PGA Tour,2026 Masters,parlay,RR 4-way: Rai > Hall + Reed > Matsuyama + Day > Lowry + Conners > Bridgeman,"Rai, Reed, Day, Conners",,+1884,25,471.12,lost,2026-04-10,Round Robin 4-way parlay
98,2026-04-10,Golf,PGA Tour,2026 Masters,parlay,RR 4-way: Rai > Hall + Cantlay > Hovland + Day > Lowry + Conners > Bridgeman,"Rai, Cantlay, Day, Conners",,+1884,25,471.12,lost,2026-04-10,Round Robin 4-way parlay
99,2026-04-10,Golf,PGA Tour,2026 Masters,parlay,RR 4-way: Reed > Matsuyama + Cantlay > Hovland + Day > Lowry + Conners > Bridgeman,"Reed, Cantlay, Day, Conners",,+1884,25,471.12,lost,2026-04-10,Round Robin 4-way parlay
100,2026-04-10,Golf,PGA Tour,2026 Masters,parlay,RR 5-way: Rai > Hall + Reed > Matsuyama + Cantlay > Hovland + Day > Lowry + Conners > Bridgeman,"Rai, Reed, Cantlay, Day, Conners",,+4067,25,1016.86,lost,2026-04-10,Round Robin 5-way parlay
101,2022-12-29,Football,NCAAF,SYR @ MINN,spread,(Live) SYR +17.5 -114,SYR,MINN,-114,57,50,won,2022-12-29,Live bet
102,2022-12-29,Football,NCAAF,TEX @ WASH,total,WASH o27.5 -107,WASH,TEX,-107,268,250.47,lost,2022-12-29,
103,2022-12-30,Football,NCAAF,ND @ SC,spread,SC +3.5 -110,SC,ND,-110,275,250,lost,2022-12-30,
104,2022-12-30,Football,NCAAF,ND @ SC,total,ND @ SC: o50 -110,ND,SC,-110,275,250,won,2022-12-30,
105,2022-12-30,Football,NCAAF,OHIO @ WYO,total,(Live) OHIO @ WYO: u53.5 -120,OHIO,WYO,-120,300,250,lost,2022-12-30,Live bet
106,2022-12-30,Football,NCAAF,OHIO @ WYO,total,OHIO @ WYO: u42 -110,OHIO,WYO,-110,275,250,lost,2022-12-30,
107,2022-12-30,Football,NCAAF,TENN @ CLEM,spread,(Live) CLEM +3.5 -121,CLEM,TENN,-121,363,300,lost,2022-12-30,Live bet
108,2022-12-30,Football,NCAAF,TENN @ CLEM,spread,CLEM -5 -110,CLEM,TENN,-110,275,250,lost,2022-12-30,
109,2022-12-30,Basketball,NCAAB,USC @ WASH,spread,(1H) USC -1 -110,USC,WASH,-110,250,227.27,won,2022-12-30,1st half
110,2022-12-30,Basketball,NCAAB,USC @ WASH,spread,USC -2 -110,USC,WASH,-110,250,227.27,won,2022-12-30,
111,2022-12-30,Basketball,NCAAB,USC @ WASH,spread,USC -2.5 -110,USC,WASH,-110,275,250,won,2022-12-30,
112,2022-12-30,Basketball,NCAAB,USC @ WASH,spread,(1H) USC -1.5 -115,USC,WASH,-115,288,250.44,won,2022-12-30,1st half
